Descripción,Localización,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Tipo de operación,Superficie construida,Superficie útil,Habitaciones,Baños,Tipo de casa,Antigüedad,Conservación,Referencia,Planta,Gastos de comunidad,Superficie solar,Exterior,Interior
Piso en alquiler en San Cristóbal,San Cristóbal (Distrito Villaverde. Madrid Capital),955,65,Anuncio actualizado el 17/09/2024,,,Alquiler,65 m²,,3,1,,Más de 50 años,En buen estado,SA3458-2001/20010001/1824,4ª,,,,
"Piso en alquiler en Calle de Zurbano, cerca de Calle de Bretón de los Herreros",Ríos Rosas (Distrito Chamberí. Madrid Capital),2.600,101,Anuncio actualizado el 18/10/2024,,,Alquiler,101 m²,,3,2,,,En buen estado,XA785-528327,,,,,Lisas
Piso en alquiler en Pilar,Pilar (Distrito Fuencarral-El Pardo. Madrid Capital),1.200,90,Anuncio actualizado el 15/10/2024,Consumo:113 kWh/m² año,Emisiones:19 Kg CO₂/m² año,Alquiler,90 m²,,3,2,,Más de 50 años,Reformado,TC107-596745,,,,,
Piso en alquiler en Leganés Norte,Leganés Norte (Leganés),1.295,110,Anuncio actualizado el 26/10/2024,,,Alquiler,110 m²,,3,2,,,En buen estado,XA24-2810-032263,1ª,,,,
"Apartamento en alquiler en Calle del Galeón, 2",Alameda de Osuna (Distrito Barajas. Madrid Capital),1.222,80,Anuncio actualizado el 22/10/2024,,,Alquiler,80 m²,,2,1,,Entre 20 y 30 años,,SA4312-SOF-HISP57C/9940,7ª,,,,
Piso en alquiler en San Cristóbal,San Cristóbal (Distrito Villaverde. Madrid Capital),995,61,Anuncio actualizado el 12/09/2024,,,Alquiler,61 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1831,4ª,,,,
Dúplex en alquiler en San Andrés,San Andrés (Distrito Villaverde. Madrid Capital),1.300,135,Anuncio actualizado el 05/08/2024,Consumo:10 kWh/m² año,Emisiones:10 Kg CO₂/m² año,Alquiler,135 m²,,1,2,,Menos de 5 años,En buen estado,SA5124-ATICO MARQUESADO,4ª,,,,
Apartamento en alquiler en Abantos-Monte Carmelo-El Rosario,Abantos-Monte Carmelo-El Rosario (San Lorenzo de El Escorial),3.000,250,Anuncio actualizado el 09/09/2024,,,Alquiler,250 m²,,4,3,,,,IF77045-I-00L0IM-W-02WCF5,,,,,
Piso en alquiler en Calle de Evaristo San Miguel,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),1.700,81,Anuncio actualizado el 24/10/2024,,,Alquiler,81 m²,75 m²,2,1,,,En buen estado,526309-ALTD1024,5ª,,,,
Piso en alquiler en Entrevías,Entrevías (Distrito Puente de Vallecas. Madrid Capital),1.125,67,Anuncio actualizado el 07/10/2024,,,Alquiler,67 m²,,3,1,,,En buen estado,SA3458-2001/20010001/978,2ª,,,,
Piso en alquiler en Ensanche,Ensanche (Distrito Ensanche-Espartales. Alcalá de Henares),800,60,Anuncio actualizado el 28/10/2024,,,Alquiler,60 m²,,1,1,,,A estrenar,XA24-2830-031857,,,,,
Piso en alquiler en Fuentebella,Fuentebella (Parla),930,72,Anuncio actualizado el 06/08/2024,,,Alquiler,72 m²,,3,1,,,En buen estado,SA3458-2001/20010005/169,4ª,,,,
"Apartamento en alquiler en Calle de Claudio Coello, cerca de Calle Hermosilla",Recoletos (Distrito Salamanca. Madrid Capital),4.600,214,Anuncio actualizado el 24/10/2024,Consumo:122 kWh/m² año,Emisiones:25 Kg CO₂/m² año,Alquiler,214 m²,,4,5,,Entre 30 y 50 años,,IF77045-I-00L3VZ-W-02XAF8,2ª,,,,
Apartamento en alquiler en Calle Avenida de Rafael Nadal,Sol (Distrito Centro. Madrid Capital),3.000,204,Anuncio actualizado el 04/10/2024,Consumo:23 kWh/m² año,Emisiones:4 Kg CO₂/m² año,Alquiler,204 m²,,2,2,,Menos de 5 años,,IF77045-I-00L232-W-02WTJG,,,,,
Piso en alquiler en San Diego,San Diego (Distrito Puente de Vallecas. Madrid Capital),1.025,46,Anuncio actualizado el 07/10/2024,,,Alquiler,46 m²,,2,1,,,En buen estado,SA3458-2001/20010001/1803,1ª,,,,
Piso en alquiler en Calle del Desengaño,Universidad-Malasaña (Distrito Centro. Madrid Capital),10.000,200,Anuncio actualizado el 20/09/2024,,,Alquiler,200 m²,185 m²,6,3,,,En buen estado,4528694-001200,3ª,,,,
Piso en alquiler en Sur-Este,Sur-Este (Móstoles),995,69,Anuncio actualizado el 27/10/2024,,,Alquiler,69 m²,55 m²,2,,,,,XA614-96,3ª,,,,
Piso en alquiler en Centro,Centro (Leganés),900,65,Anuncio actualizado el 22/10/2024,,,Alquiler,65 m²,65 m²,2,1,,Más de 50 años,En buen estado,500185-008419,Bajo,,,,
Estudio en alquiler en Pueblo Nuevo,Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital),740,28,Anuncio actualizado el 28/10/2024,,,Alquiler,28 m²,28 m²,1,1,,,Reformado,518978-2A1080,1ª,,,,
Piso en alquiler en Ensanche,Garena (Distrito Chorrillo-Garena. Alcalá de Henares),1.350,110,Anuncio actualizado el 19/10/2024,,,Alquiler,110 m²,,4,2,,,En buen estado,XA24-2830-031630,3ª,,,,
"Piso en alquiler en Calle del Arroyo de la Media Legua, cerca de Calle del Corregidor Rodrigo Rodríguez",Media Legua (Distrito Moratalaz. Madrid Capital),1.200,60,Anuncio actualizado el 18/10/2024,Consumo:255 kWh/m² año,Emisiones:53 Kg CO₂/m² año,Alquiler,60 m²,,2,1,,Más de 50 años,Reformado,TC640-369232,3ª,,,,
Piso en alquiler en Calle Castella,Castellana (Distrito Salamanca. Madrid Capital),2.980,118,Anuncio actualizado el 20/10/2024,,,Alquiler,118 m²,100 m²,2,2,,Entre 30 y 50 años,En buen estado,517093-000674_A,4ª,,,,
"Piso en alquiler en Avenida de la Institución Libre de Enseñanza, cerca de Calle del Castillo de Arévalo",Simancas (Distrito San Blas. Madrid Capital),950,42,Anuncio actualizado el 21/10/2024,,,Alquiler,42 m²,40 m²,1,1,,Más de 50 años,,SA4312-sya_hgn/9940,2ª,,,,
Piso en alquiler en Recoletos,Recoletos (Distrito Salamanca. Madrid Capital),1.500,80,Anuncio actualizado el 22/10/2024,,,Alquiler,80 m²,80 m²,2,1,,,,XA156-SAP-4476,,,,,
Ático en alquiler en Fuente del Berro,Fuente del Berro (Distrito Salamanca. Madrid Capital),2.450,95,Anuncio actualizado el 17/10/2024,,,Alquiler,95 m²,95 m²,2,1,,,,XA156-SAP-3928,,,,,
Piso en alquiler en San Cristóbal,San Cristóbal (Distrito Villaverde. Madrid Capital),945,60,Anuncio actualizado el 30/09/2024,,,Alquiler,60 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1816,1ª,,,,
"Piso en alquiler en Calle de las Viñas del Río, 14",Butarque (Distrito Villaverde. Madrid Capital),935,45,Anuncio actualizado el 23/10/2024,,,Alquiler,45 m²,,1,1,,Menos de 5 años,En buen estado,SA5100-2201/22010012/00000068,4ª,,,,
Piso en alquiler en Hellín,Hellín (Distrito San Blas. Madrid Capital),860,45,Anuncio actualizado el 27/09/2024,,,Alquiler,45 m²,,2,1,,,En buen estado,SA3458-2001/20010001/1765,4ª,,,,
Piso en alquiler en Calle del General Álvarez de Castro,Trafalgar (Distrito Chamberí. Madrid Capital),1.550,71,Anuncio actualizado el 23/10/2024,,,Alquiler,71 m²,,3,1,,,,XA785-528335,,,,,
Apartamento en alquiler en Puerta del Ángel,Puerta del Ángel (Distrito Latina. Madrid Capital),1.100,45,Anuncio actualizado el 25/10/2024,Consumo:239 kWh/m² año,Emisiones:49 Kg CO₂/m² año,Alquiler,45 m²,,1,1,,,,IF77045-I-00L48Y-W-02XJSF,2ª,,,,
Apartamento en alquiler en Ibiza,Ibiza (Distrito Retiro. Madrid Capital),2.350,106,Anuncio actualizado el 04/10/2024,Consumo:133 kWh/m² año,Emisiones:26 Kg CO₂/m² año,Alquiler,106 m²,,4,2,,,,IF77045-I-00L3IJ-W-02X9FK,3ª,,,,
Loft en alquiler en Recoletos,Recoletos (Distrito Salamanca. Madrid Capital),1.800,35,Anuncio actualizado el 11/09/2024,,,Alquiler,35 m²,35 m²,,1,,,,XA156-SAP-3811,,,,,
Piso en alquiler en La Alhóndiga,La Alhóndiga (Getafe),960,60,Anuncio actualizado el 10/10/2024,,,Alquiler,60 m²,56 m²,2,1,,Entre 30 y 50 años,En buen estado,4514042-PISO EN LA ALHONDIGA,3ª,,,,
Piso en alquiler en Pacífico,Pacífico (Distrito Retiro. Madrid Capital),1.250,49,Anuncio actualizado el 14/10/2024,Consumo:162 kWh/m² año,Emisiones:29 Kg CO₂/m² año,Alquiler,49 m²,,2,1,,Más de 50 años,En buen estado,TC478-594767,,,,,
"Piso en alquiler en Calle de Galileo, cerca de Calle de Fernando 'El Católico'",Arapiles (Distrito Chamberí. Madrid Capital),1.465,63,Anuncio actualizado el 02/10/2024,,,Alquiler,63 m²,,2,1,,,,SOL6-CH-58145-0003,,,,,
Piso en alquiler en Calle de la Tierruca,Portazgo (Distrito Puente de Vallecas. Madrid Capital),950,56,Anuncio actualizado el 22/10/2024,,,Alquiler,56 m²,50 m²,2,1,,Más de 50 años,En buen estado,SA2484-3248-24202,1ª,,,,
Piso en alquiler en Calle de José Antonio Zapata,Legazpi (Distrito Arganzuela. Madrid Capital),1.810,114,Anuncio actualizado el 27/10/2024,,,Alquiler,114 m²,83 m²,3,,,,,XA614-12576,1ª,,,,
Piso en alquiler en Hellín,Hellín (Distrito San Blas. Madrid Capital),1.100,57,Anuncio actualizado el 09/10/2024,,,Alquiler,57 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1891,3ª,,,,
Apartamento en alquiler en Calle Corredera Baja de San Pablo,Universidad-Malasaña (Distrito Centro. Madrid Capital),3.700,75,Anuncio actualizado el 20/08/2024,,,Alquiler,75 m²,,2,2,,,,IF77045-I-00KQOW-W-02TDSF,,,,,
Piso en alquiler en Amposta,Amposta (Distrito San Blas. Madrid Capital),1.075,56,Anuncio actualizado el 30/09/2024,,,Alquiler,56 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1840,1ª,,,,
Piso en alquiler en Hellín,Hellín (Distrito San Blas. Madrid Capital),1.070,57,Anuncio actualizado el 28/10/2024,,,Alquiler,57 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1779,2ª,,,,
Piso en alquiler en Pradolongo,Pradolongo (Distrito Usera. Madrid Capital),1.050,70,Anuncio actualizado el 16/10/2024,,,Alquiler,70 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1610,1ª,,,,
Piso en alquiler en Villaverde,Los Rosales (Distrito Villaverde. Madrid Capital),1.095,80,Anuncio actualizado el 25/10/2024,,,Alquiler,80 m²,,2,2,,,En buen estado,XA24-2829-032010,8ª,,,,
Casa en alquiler en Monte Alina-La Cabaña,Monte Alina-La Cabaña (Pozuelo de Alarcón),4.500,435,Anuncio actualizado el 21/05/2024,,,Alquiler,435 m²,,4,6,,,,IF77045-I-00KVJZ-W-02UM67,,,752 m²,,
Piso en alquiler en Almendrales,Almendrales (Distrito Usera. Madrid Capital),995,45,Anuncio actualizado el 09/09/2024,,,Alquiler,45 m²,,2,1,,,En buen estado,SA3458-2001/20010001/1878,2ª,,,,
Piso en alquiler en Calle de la Macarena,Calle Pinto-San Roque (Parla),900,90,Anuncio actualizado el 28/10/2024,,,Alquiler,90 m²,88 m²,3,2,,Entre 20 y 30 años,En buen estado,SA208-8628PA-CM,1ª,,,,
Piso en alquiler en San Fermín,San Fermín (Distrito Usera. Madrid Capital),1.130,63,Anuncio actualizado el 21/08/2024,,,Alquiler,63 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1450,6ª,,,,
Ático en alquiler en Golf-El Carralero,Golf-El Carralero (Majadahonda),6.750,192,Anuncio actualizado el 21/05/2024,,,Alquiler,192 m²,,4,3,,Entre 20 y 30 años,,IF77045-I-00KY7K-W-02VJ4N,3ª,,,,
Ático en alquiler en Avenida de Italia,Estación-Zona Norte (Pozuelo de Alarcón),1.500,85,Anuncio actualizado el 25/10/2024,,,Alquiler,85 m²,84 m²,2,1,,Entre 20 y 30 años,En buen estado,SA3768-167000,2ª,,,,
"Piso en alquiler en Paseo de la Habana, cerca de Calle de Armando Palacio Valdés",El Viso (Distrito Chamartín. Madrid Capital),3.900,328,Anuncio actualizado el 24/10/2024,,,Alquiler,328 m²,280 m²,5,4,,Más de 50 años,En buen estado,517093-000662,7ª,,,,
Apartamento en alquiler en Calle Corredera Baja de San Pablo,Universidad-Malasaña (Distrito Centro. Madrid Capital),3.990,140,Anuncio actualizado el 20/08/2024,,,Alquiler,140 m²,,2,2,,,,IF77045-I-00KIBV-W-02RK7W,1ª,,,,
Casa en alquiler en El Soto de La Moraleja,El Soto de la Moraleja (La Moraleja),3.600,158,Anuncio actualizado el 05/07/2024,,,Alquiler,158 m²,,4,3,,,,IF77045-I-00KU0F-W-02U5WK,,,,,
Ático en alquiler en Puerta Bonita,Puerta Bonita (Distrito Carabanchel. Madrid Capital),1.590,121,Anuncio actualizado el 10/10/2024,,,Alquiler,121 m²,85 m²,3,2,,Entre 30 y 50 años,En buen estado,4514042-ÁTICO EN PUERTA BONITA,3ª,,,,
Piso en alquiler en Centro,Universidad-Malasaña (Distrito Centro. Madrid Capital),1.700,107,Anuncio actualizado el 25/10/2024,,,Alquiler,107 m²,86 m²,1,2,,Más de 50 años,,GB18-UNI3107 PISO EN ALQUILER EN CENTRO - UNIVERSIDAD,2ª,,,,
Apartamento en alquiler en Arapiles,Arapiles (Distrito Chamberí. Madrid Capital),1.500,90,Anuncio actualizado el 18/10/2024,,,Alquiler,90 m²,,2,1,,Más de 50 años,,IF77045-I-00L3DB-W-02X88H,,,,,
Piso en alquiler en Calle de Costa Rica,Hispanoamérica (Distrito Chamartín. Madrid Capital),1.700,82,Anuncio actualizado el 28/10/2024,,,Alquiler,82 m²,74 m²,2,1,,Más de 50 años,,SA874-CO-A218/1158,4ª,,,,
Casa en alquiler en Somosaguas-Húmera-Los Ángeles,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),7.500,610,Anuncio actualizado el 07/06/2024,,,Alquiler,610 m²,,6,5,,Entre 30 y 50 años,,IF77045-I-00KZOL-W-02W38Y,,,2.500 m²,,
Piso en alquiler en Calle de Argensola,Justicia-Chueca (Distrito Centro. Madrid Capital),2.600,107,Anuncio actualizado el 23/10/2024,,,Alquiler,107 m²,,2,3,,,En buen estado,XA633-5515,,,,,
Piso en alquiler en Numancia,Numancia (Distrito Puente de Vallecas. Madrid Capital),1.200,58,Anuncio actualizado el 23/10/2024,,,Alquiler,58 m²,,3,1,,,En buen estado,SA3458-2001/20010001/947,1ª,,,,
Piso en alquiler en Embajadores-Lavapiés,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),1.350,50,Anuncio actualizado el 26/10/2024,,,Alquiler,50 m²,,2,,,Más de 50 años,En buen estado,TC99-556924,4ª,,,,
Piso en alquiler en Villaverde Alto,San Andrés (Distrito Villaverde. Madrid Capital),900,46,Anuncio actualizado el 28/10/2024,,,Alquiler,46 m²,40 m²,1,2,,Menos de 5 años,,SA1924-MR0325968/7208,2ª,,,,
"Piso en alquiler en Calle Beatriz Galindo, 7",Zona Sureste (Torrejón de Ardoz),965,69,Anuncio actualizado el 28/10/2024,,,Alquiler,69 m²,,2,1,,,En buen estado,SA5100-2200/22000621/00000034,2ª,,,,
Piso en alquiler en Chamberi,Trafalgar (Distrito Chamberí. Madrid Capital),990,62,Anuncio actualizado el 13/10/2024,,,Alquiler,62 m²,,1,1,,,En buen estado,XA24-2827-031505,,,,,
Piso en alquiler en Latina,Campamento (Distrito Latina. Madrid Capital),1.100,61,Anuncio actualizado el 18/10/2024,,,Alquiler,61 m²,,2,1,,,En buen estado,XA24-2808-031846,2ª,,,,
Piso en alquiler en Arganzuela,Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),1.200,65,Anuncio actualizado el 25/10/2024,,,Alquiler,65 m²,,2,1,,,En buen estado,XA24-2818-032249,3ª,,,,
Piso en alquiler en Espartales,Espartales (Distrito Ensanche-Espartales. Alcalá de Henares),1.200,136,Anuncio actualizado el 09/07/2024,,,Alquiler,136 m²,,,2,,,En buen estado,TC904-587931,4ª,,,,
Piso en alquiler en Calle del Aviador Zorita,Cuatro Caminos (Distrito Tetuán. Madrid Capital),2.000,120,Anuncio actualizado el 25/10/2024,,,Alquiler,120 m²,98 m²,3,2,,Más de 50 años,,SA874-OR2028/1158,1ª,,,,
Dúplex en alquiler en Calle de Manuel Pombo Angulo,Sanchinarro (Distrito Hortaleza. Madrid Capital),1.200,79,Anuncio actualizado el 22/10/2024,,,Alquiler,79 m²,79 m²,1,1,,Entre 10 y 20 años,En buen estado,4519466-IF-317,1ª,,,,
Piso en alquiler en Calle de Villalobos,Palomeras Sureste (Distrito Puente de Vallecas. Madrid Capital),940,60,Anuncio actualizado el 24/10/2024,,,Alquiler,60 m²,,2,1,,,,SOL6-CH-52082-0001,,,,,
"Apartamento en alquiler en Calle de Londres, cerca de Calle de Francisco Navacerrada",Guindalera (Distrito Salamanca. Madrid Capital),2.590,50,Anuncio actualizado el 31/07/2024,,,Alquiler,50 m²,,1,1,,,,IF77045-I-00L1J2-W-02WOAV,2ª,,,,
Piso en alquiler en Ciudad Lineal,Quintana (Distrito Ciudad Lineal. Madrid Capital),1.050,55,Anuncio actualizado el 26/10/2024,,,Alquiler,55 m²,,2,1,,,En buen estado,XA24-2804-032309,3ª,,,,
Piso en alquiler en Villa de Vallecas,Santa Eugenia (Distrito Villa de Vallecas. Madrid Capital),1.025,88,Anuncio actualizado el 22/10/2024,,,Alquiler,88 m²,,3,2,,,En buen estado,XA24-2809-031900,1ª,,,,
Piso en alquiler en Portazgo,Portazgo (Distrito Puente de Vallecas. Madrid Capital),905,50,Anuncio actualizado el 28/10/2024,,,Alquiler,50 m²,,2,1,,,En buen estado,SA3458-2001/20010001/1912,3ª,,,,
Ático en alquiler en Canillas,Canillas (Distrito Hortaleza. Madrid Capital),3.800,170,Anuncio actualizado el 28/10/2024,,,Alquiler,170 m²,,4,2,,Menos de 5 años,,IF77045-I-00KZIW-W-02VTNJ,4ª,,,,
Piso en alquiler en Pradolongo,Pradolongo (Distrito Usera. Madrid Capital),1.040,64,Anuncio actualizado el 30/09/2024,,,Alquiler,64 m²,,3,1,,,En buen estado,SA3458-2001/20010001/416,2ª,,,,
Piso en alquiler en Arganzuela,Acacias (Distrito Arganzuela. Madrid Capital),1.000,45,Anuncio actualizado el 12/10/2024,,,Alquiler,45 m²,,2,1,,,En buen estado,XA24-2818-031958,2ª,,,,
Piso en alquiler en Numancia,Numancia (Distrito Puente de Vallecas. Madrid Capital),1.135,59,Anuncio actualizado el 24/10/2024,,,Alquiler,59 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1892,4ª,,,,
Piso en alquiler en Ciudad Lineal,Quintana (Distrito Ciudad Lineal. Madrid Capital),1.000,55,Anuncio actualizado el 22/10/2024,,,Alquiler,55 m²,,2,1,,,En buen estado,XA24-2804-007798,2ª,,,,
Dúplex en alquiler en Calle de la Laguna del Marquesado,San Andrés (Distrito Villaverde. Madrid Capital),1.200,149,Anuncio actualizado el 11/10/2024,,,Alquiler,149 m²,,1,2,,Menos de 5 años,En buen estado,SA2554-897800250,4ª,,,,
Piso en alquiler en San Diego,San Diego (Distrito Puente de Vallecas. Madrid Capital),1.135,57,Anuncio actualizado el 24/09/2024,,,Alquiler,57 m²,,3,1,,,En buen estado,SA3458-2001/20010001/411,1ª,,,,
Piso en alquiler en San Cristóbal,San Cristóbal (Distrito Villaverde. Madrid Capital),1.080,75,Anuncio actualizado el 28/10/2024,,,Alquiler,75 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1879,4ª,,,,
Piso en alquiler en Entrevías,Entrevías (Distrito Puente de Vallecas. Madrid Capital),940,51,Anuncio actualizado el 03/10/2024,,,Alquiler,51 m²,,2,1,,,En buen estado,SA3458-2001/20010001/932,3ª,,,,
"Apartamento en alquiler en Calle de Ponzano, cerca de Calle de Ríos Rosas",Ríos Rosas (Distrito Chamberí. Madrid Capital),2.640,50,Anuncio actualizado el 30/08/2024,Consumo:252 kWh/m² año,Emisiones:44 Kg CO₂/m² año,Alquiler,50 m²,,1,1,,,,IF77045-I-00L2B9-W-02WWR6,1ª,,,,
Piso en alquiler en San Diego,San Diego (Distrito Puente de Vallecas. Madrid Capital),910,51,Anuncio actualizado el 12/09/2024,,,Alquiler,51 m²,,2,1,,,En buen estado,SA3458-2001/20010001/14,3ª,,,,
Piso en alquiler en Villaverde,Los Ángeles (Distrito Villaverde. Madrid Capital),1.050,75,Anuncio actualizado el 26/10/2024,,,Alquiler,75 m²,,3,1,,,En buen estado,XA24-2829-017344,2ª,,,,
Casa en alquiler en Calle del Caballo,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),13.500,1.170,Anuncio actualizado el 16/10/2024,,,Alquiler,1.170 m²,,4,5,,Entre 30 y 50 años,,IF77045-I-00KRV8-W-02QOZ7,,,4.665 m²,,
Estudio en alquiler en Opañel,Opañel (Distrito Carabanchel. Madrid Capital),600,26,Anuncio actualizado el 21/10/2024,,,Alquiler,26 m²,22 m²,,1,,,En buen estado,4516598-Urgel/24,Principal,,,,
Piso en alquiler en Calle del General Arrando,Almagro (Distrito Chamberí. Madrid Capital),2.000,110,Anuncio actualizado el 16/10/2024,,,Alquiler,110 m²,,3,2,,,,XA785-528727,,,,,
Apartamento en alquiler en Calle Corredera Baja de San Pablo,Universidad-Malasaña (Distrito Centro. Madrid Capital),3.990,140,Anuncio actualizado el 20/08/2024,,,Alquiler,140 m²,,2,2,,,,IF77045-I-00KIBQ-W-02RK7A,1ª,,,,
Chalet en alquiler en Club de Golf,Club de Golf-Molino de la Hoz (Las Rozas de Madrid),7.500,1.500,Anuncio actualizado el 14/10/2024,,,Alquiler,1.500 m²,1.000 m²,6,8,,Entre 20 y 30 años,,SA3689-EXP08340/8930,,,7.000 m²,,
"Piso en alquiler en Calle del Marqués de la Valdavia, cerca de Calle de Pablo Picasso",¡Vaya! Esta propiedad no tiene fotos,850,60,Anuncio actualizado el 28/10/2024,,,Alquiler,60 m²,55 m²,2,1,,Entre 30 y 50 años,En buen estado,4998671-13557121,1ª,,,,
"Ático en alquiler en Calle del Pintor Ignacio Zuloaga, 2",Sanchinarro (Distrito Hortaleza. Madrid Capital),1.495,60,Anuncio actualizado el 27/10/2024,,,Alquiler,60 m²,49 m²,2,1,,,En buen estado,SA2695-2200/22000636/00000162,5ª,,,,
Piso en alquiler en Casco Histórico de Vallecas,Casco Histórico de Vallecas (Distrito Villa de Vallecas. Madrid Capital),1.075,59,Anuncio actualizado el 21/10/2024,,,Alquiler,59 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1784,2ª,,,,
Apartamento en alquiler en Puerta del Ángel,Puerta del Ángel (Distrito Latina. Madrid Capital),2.300,110,Anuncio actualizado el 03/10/2024,Consumo:542 kWh/m² año,Emisiones:114 Kg CO₂/m² año,Alquiler,110 m²,,4,2,,,,IF77045-I-00L3GG-W-02X9I5,,,,,
Piso en alquiler en Monte del Pilar,Zona Carretera del Plantío (Majadahonda),2.700,180,Anuncio actualizado el 06/10/2024,,,Alquiler,180 m²,,4,3,,Más de 50 años,,GM34-199433,,,,Exterior,
Piso en alquiler en Fuencarral,Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),950,50,Anuncio actualizado el 25/10/2024,,,Alquiler,50 m²,,1,1,,,En buen estado,XA24-2807-032238,5ª,,,,
Piso en alquiler en San Cristóbal,San Cristóbal (Distrito Villaverde. Madrid Capital),990,57,Anuncio actualizado el 19/08/2024,,,Alquiler,57 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1782,2ª,,,,
"Piso en alquiler en Calle de Atocha, cerca de Calle de Moratín",Cortes-Huertas (Distrito Centro. Madrid Capital),1.500,75,Anuncio actualizado el 02/10/2024,,,Alquiler,75 m²,70 m²,2,1,,,,SA4312-angela-2hato/9940,3ª,,,,
Piso en alquiler en Numancia,Numancia (Distrito Puente de Vallecas. Madrid Capital),1.100,63,Anuncio actualizado el 19/09/2024,,,Alquiler,63 m²,,3,1,,,En buen estado,SA3458-2001/20010001/447,4ª,,,,
Piso en alquiler en Calle de Pinzón,Rinconada (Distrito Reyes Católicos. Alcalá de Henares),900,69,Anuncio actualizado el 01/10/2024,,,Alquiler,69 m²,,3,1,,,,SOL6-CG-75320-0001,,,,,
"Piso en alquiler en Calle de Padilla, cerca de Calle del General Pardiñas",Lista (Distrito Salamanca. Madrid Capital),3.950,111,Anuncio actualizado el 27/10/2024,,,Alquiler,111 m²,,2,3,,,A estrenar,XA633-6011,2ª,,,,
Chalet adosado en alquiler en Cerca C.Comercial,El Soto de la Moraleja (La Moraleja),4.900,280,Anuncio actualizado el 24/10/2024,,,Alquiler,280 m²,280 m²,5,4,,Entre 20 y 30 años,En buen estado,1794-001863,,,,,
"Piso en alquiler en Paseo de la Tolerancia, 2",Zona Sureste (Torrejón de Ardoz),950,70,Anuncio actualizado el 26/10/2024,,,Alquiler,70 m²,,2,1,,,En buen estado,SA5100-2200/22000622/00000022,1ª,,,,
Piso en alquiler en Chamberi,Trafalgar (Distrito Chamberí. Madrid Capital),950,35,Anuncio actualizado el 28/10/2024,,,Alquiler,35 m²,,1,1,,,En buen estado,XA24-2827-004841,,,,,
Chalet en alquiler en Calle Prado de las Encinas,Jardín de los Reyes-Parque Real (El Escorial),1.800,234,Anuncio actualizado el 09/10/2024,,,Alquiler,234 m²,,5,3,,,En buen estado,SA246-3408022,,,1.500 m²,,
Piso en alquiler en San Diego,San Diego (Distrito Puente de Vallecas. Madrid Capital),995,53,Anuncio actualizado el 24/09/2024,,,Alquiler,53 m²,,2,1,,,En buen estado,SA3458-2001/20010001/803,3ª,,,,
Piso en alquiler en Recoletos,Recoletos (Distrito Salamanca. Madrid Capital),2.950,130,Anuncio actualizado el 04/10/2024,,,Alquiler,130 m²,130 m²,3,2,,,,XA156-SAP-4472,,,,,
"Piso en alquiler en Calle Costanilla de los Ángeles, Número .",Palacio (Distrito Centro. Madrid Capital),2.300,66,Anuncio actualizado el 22/10/2024,,,Alquiler,66 m²,66 m²,2,1,,,,EP442-821288,3ª,,,,
Piso en alquiler en Calle de Irún,Casa de Campo (Distrito Moncloa-Aravaca. Madrid Capital),2.400,51,Anuncio actualizado el 07/10/2024,,,Alquiler,51 m²,50 m²,1,1,,,En buen estado,SA1925-fd565,3ª,,,,
Piso en alquiler en Paseo de San Francisco de Sales,Vallehermoso (Distrito Chamberí. Madrid Capital),3.900,231,Anuncio actualizado el 30/09/2024,Consumo:6 kWh/m² año,Emisiones:57 Kg CO₂/m² año,Alquiler,231 m²,220 m²,5,3,,Más de 50 años,,SA3988-ALQ.3SANFRANCISCODES/9621,2ª,,,,
Piso en alquiler en Amposta,Amposta (Distrito San Blas. Madrid Capital),1.055,58,Anuncio actualizado el 17/10/2024,,,Alquiler,58 m²,,3,1,,,En buen estado,SA3458-2001/20010001/1739,1ª,,,,
"Apartamento en alquiler en Calle de Añastro, cerca de Calle de Arturo Soria",Atalaya (Distrito Ciudad Lineal. Madrid Capital),3.600,266,Anuncio actualizado el 21/10/2024,,,Alquiler,266 m²,,5,4,,Entre 30 y 50 años,,IF77045-I-00L2MG-W-02WZCN,2ª,,,,
"Ático en alquiler en Calle Castelló, cerca de Calle de Don Ramón de la Cruz",Castellana (Distrito Salamanca. Madrid Capital),4.500,145,Anuncio actualizado el 26/06/2024,,,Alquiler,145 m²,,2,2,,,,IF77045-I-00KZJZ-W-02VVDL,7ª,,,,
